Cores,NUM_runtimes,ML_runtimes
1,0.16086811833333334,0.1336082555216373
2,0.15764666666666666,0.1122366835982955
3,0.143925453,0.10452256027315436
4,0.12558824066666666,0.0810117460655268
5,0.12033333333333333,0.07904018487111356
6,0.115,0.06522691189022098
7,0.10009333333333333,0.06300655721626158
8,0.08399999999999999,0.061110773568127656
9,0.08066666666666666,0.06008481476990967
10,0.07933333333333333,0.057058929394587746
11,0.07766666666666668,0.049930686911000485
