Cores,NUM_runtimes,ML_runtimes
1,0.482604355,0.42874
2,0.41294,0.3578
3,0.401776359,0.30177459
4,0.376764722,0.246764722
5,0.37,0.21
6,0.333,0.2001
7,0.304,0.1965
8,0.282,0.1854
9,0.263,0.1742
10,0.247,0.16902
11,0.233,0.14375
